,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actors,directors
346,ts23752,Midnight Diner,SHOW,"Set in a small restaurant in the corner of a shopping district. The unusual eatery is only open after midnight, and its standard menu consists of just a single choice. However, the customers still come for the amusing chatter and the proprietor's willingness to cook any dish that they request. This drama depicts the lives of the restaurant's patrons, including a yakuza, an unsuccessful actor, a group of office ladies, a newspaper delivery boy, and a stripper.",2009,TV-MA,27,"['drama', 'comedy']",['JP'],5.0,tt1882928,8.6,2256.0,7.356,7.9,"['Kaoru Kobayashi', 'Yutaka Matsushige', 'Toshiki Ayata', 'Mansaku Fuwa', 'Shohei Uno']",
347,tm43399,Lagaan: Once Upon a Time in India,MOVIE,"In 1890s India, an arrogant British commander challenges the harshly taxed residents of Champaner to a high-stakes cricket match.",2001,PG,224,"['romance', 'drama', 'action', 'sport']",['IN'],,tt0169102,8.1,111053.0,10.097,7.3,"['Aamir Khan', 'Gracy Singh', 'Rachel Shelley', 'Paul Blackthorne', 'Kulbhushan Kharbanda', 'Raj Zutshi', 'Rajesh Vivek', 'Yashpal Sharma', 'Amin Hajee', 'Aditya Lakhia', 'Akhilendra Mishra', 'Rajendra Gupta', 'Shri Vallabh Vyas', 'Raghubir Yadav', 'Javed Khan', 'A.K. Hangal', 'Anupam Shyam', 'John Rowe', 'Jeremy Child', 'Howard Lee', 'Pradeep Ram Singh Rawat', 'David Gant', 'Amitabh Bachchan', 'Ben Nealon', 'Suhasini Mulay', 'Daya Shankar Pandey', 'Raja Awasthi', 'Amin Gazi', 'Pramatesh Mehta', 'Chris England', 'Simon Holmes', 'Jon House']",['Ashutosh Gowariker']
348,ts21421,Pocoyo,SHOW,"Pocoyo is a Spanish pre-school animated television series created by Guillermo García Carsí, Luis Gallego and David Cantolla, and is a co-production between Spanish producer Zinkia Entertainment, Cosgrove-Hall Films and Granada International. Two series have been produced, each consisting of 52 seven-minute episodes. English actor and comedian Stephen Fry narrates the English-language version and José María del Río narrates the Castilian Spanish version.

Set in a 3D space, with a plain white background and usually no backdrops, it is about Pocoyo, a 3-year-old boy, interacting with his friends Pato, Elly and Loula. Viewers are encouraged to recognise situations that Pocoyo is in, and things that are going on with or around him. The narrator usually speaks explicitly to the viewers and to the characters as well. Each character has its own distinctive dance and also a specific sound, and most episodes end with the characters dancing. Many episodes also involve parties.

In the United Kingdom, it was originally broadcast on CITV, a children's strand on the ITV network. In September 2007, Channel 5 acquired terrestrial rights in the United Kingdom to the first and second series, making it part of the Milkshake! strand. The show, however, will continue to air on the CITV Channel. Other broadcasters in the English speaking countries include RTÉ in the Republic of Ireland, Nick Jr. in the U.S. nationwide and local station KCET-TV as well as KLCS-TV channel 58-2 in Los Angeles and on Univision in LATAM Spanish, Treehouse TV in Canada, ABC in Australia and TVNZ in New Zealand.",2005,TV-G,11,"['animation', 'family', 'comedy', 'european']","['GB', 'ES']",4.0,tt0487849,3.9,93.0,27.339,7.1,"['Stephen Fry', 'Alex Marty', 'Montana Smedley', 'Courtney Webb']",
349,ts22005,Total Drama Island,SHOW,"Reality TV meets animation in this parody in which twenty-two teens are sent to the most run-down and bug-infested summer camp known to reality TV producers. Split into teams, The Screaming Gophers take on The Killer Bass as they face challenges that get more insane each week.",2007,TV-PG,23,"['war', 'reality', 'animation', 'action', 'comedy', 'drama', 'family']",['CA'],6.0,tt1173427,7.3,10886.0,16.655,7.3,"['Clé Bennett', 'Christian Potenza', 'Emilie-Claire Barlow', 'Carter Hayden', 'Katie Crown', 'Adam Greydon Reid', 'Drew Nelson', 'Novie Edwards', 'Brian Froud', 'Lauren Lipson', 'Kristin Fairlie', 'Scott McCord', 'Julia Chantrey', 'Dan Petronijevic', 'Sarah Gadon', 'Joe Jonas', 'Rachel Wilson', 'Stephanie Mills', 'Beetlejuice']",
350,ts20398,Kath & Kim,SHOW,"Kath & Kim is a character-driven Australian television situation comedy series. The series was created by, and is written by Jane Turner and Gina Riley who play the title characters: a suburban mother and daughter with a dysfunctional relationship. The series main characters consist of Kath Day-Knight, a cheerful 50-year-old woman, her self-indulgent daughter Kim Craig, Kath's boyfriend and second husband, the metrosexual Kel Knight, as well as Kim's estranged husband Brett Craig and her lonely, overweight ""second best friend"" Sharon Strzelecki. The series is set in the fictional suburb of Fountain Lakes in Melbourne. It is primarily filmed in Patterson Lakes.

The series was conceived by Turner and Riley in the early 1990s as a weekly segment of the Australian comedy series Fast Forward. The skit was then developed into a full-series. The first series of Kath & Kim premiered on ABC TV on 16 May 2002, with three further series following, while a television movie, entitled Da Kath and Kim Code, was broadcast nationally on 25 November 2005. Kath & Kim has garnered much critical acclaim since its debut, winning two Logie Awards, for ""Outstanding Comedy Programme"" and the ""Best Television Drama Series"" award at the Australian Film Institute Awards. In Australia, it has become a pop culture phenomenon, and is a success with audiences nationwide. Internationally, the series has spawned a cult fanbase, and in 2006 it was announced an American version of the series would be produced, to air on NBC. Riley and Turner served as executive producers on the US version. The American version was also picked up by Seven, which debuted the program on 12 October 2008, just three days after its debut in the United States.",2002,,24,['comedy'],['AU'],4.0,tt0272397,8.3,4261.0,3.926,6.6,"['Magda Szubanski', 'Glenn Robbins', 'Jane Turner', 'Peter Rowsthorn', 'Gina Riley']",
351,tm186461,No Direction Home: Bob Dylan,MOVIE,"A chronicle of Bob Dylan's strange evolution between 1961 and 1966 from folk singer to protest singer to ""voice of a generation"" to rock star.",2005,G,208,"['documentation', 'music']","['GB', 'US', 'JP']",,,,,7.58,7.7,"['Bob Dylan', 'Allen Ginsberg', 'Joan Baez', 'Johnny Cash', 'Pete Seeger', 'Mavis Staples', 'Dave Van Ronk', 'D. A. Pennebaker', 'John F. Kennedy', 'Martin Luther King Jr.', 'Martin Scorsese']",['Martin Scorsese']
352,tm29555,Friends with Money,MOVIE,"After she quits her lucrative job, Olivia finds herself unsure about her future and her relationships with her successful and wealthy friends.",2006,R,88,"['comedy', 'drama', 'romance']",['US'],,tt0436331,5.8,30468.0,11.86,5.1,"['Jennifer Aniston', 'Joan Cusack', 'Catherine Keener', 'Frances McDormand', 'Jason Isaacs', 'Scott Caan', 'Simon McBurney', 'Greg Germann', 'Timm Sharp', 'Hailey Noelle Johnson', 'Jake Cherry', 'Bob Stephenson', 'Marin Hinkle', 'Troy Ruptash', 'Elizabeth Keener', 'John Srednicki', 'Mitch Rouse', 'Christine Mourad', 'Jenn Fee', 'Max Burkholder', 'Alejandra Flores', 'Maulik Pancholy', 'Ty Burrell', 'Kristin Minter', 'Bobby Coleman', 'Tonita Castro', 'Ileen Getz', 'Romy Rosemont']",['Nicole Holofcener']
353,tm103095,Ip Man 2,MOVIE,"Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong. Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan.",2010,R,108,"['drama', 'action', 'history', 'sport']","['HK', 'CN']",,tt1386932,7.5,104500.0,4.516,7.5,"['Donnie Yen', 'Sammo Hung', 'Simon Yam', 'Lynn Hung', 'Kent Cheng', 'Darren Shahlavi', 'Dennis To Yue-Hong', 'Fan Siu-wong', 'Lo Meng', 'Xiaoming Huang', 'Christian Kang Bachini', 'Ashton Chen', 'Fung Hak-On', 'Tomer Oz', 'Tian Rui', 'Stefan Morawietz', 'Mei-Fang Lu', 'Charles Mayer']",['Wilson Yip']
354,tm97070,Life As We Know It,MOVIE,"After a distastrous first date for caterer Holly and network sports director Messer, all they have is common is a dislike for each other and their love for their goddaughter Sophie. But when they suddenly become all Sophie has in this world, Holly and Messer must set their differences aside. Juggling careers and social calendars, they'll have to find common ground while living under the same roof.",2010,PG-13,114,"['comedy', 'romance', 'drama']",['US'],,tt1055292,6.5,131623.0,40.534,6.9,"['Josh Duhamel', 'Katherine Heigl', 'Josh Lucas', 'Christina Hendricks', 'Hayes MacArthur', 'Sarah Burns', 'DeRay Davis', 'Rob Huebel', 'Bill Brochtrup', 'Andy Buckley', 'Andrew Daly', 'Majandra Delfino', 'Reggie Lee', 'Melissa McCarthy', 'Will Sasso', 'Jessica St. Clair', 'Jean Smart', 'Alexis Clagett', 'Johanna Jowett', 'Kate Kneeland', 'Kumail Nanjiani', 'Gregory Marshall Smith']",['Greg Berlanti']
355,tm101334,Death at a Funeral,MOVIE,"Aaron's father's funeral is today at the family home, and everything goes wrong: the funeral home delivers the wrong body, his cousin accidentally drugs her fiancé, and Aaron's successful younger brother, Ryan, flies in from New York, broke but arrogant. To top it all off, a mysterious stranger wants a word with Aaron.",2010,R,92,"['comedy', 'drama']",['US'],,tt1321509,5.7,49901.0,15.989,5.8,"['Chris Rock', 'Martin Lawrence', 'Zoe Saldaña', 'Tracy Morgan', 'Regina Hall', 'James Marsden', 'Luke Wilson', 'Columbus Short', 'Peter Dinklage', 'Danny Glover', 'Loretta Devine', 'Kevin Hart', 'Keith David', 'Ron Glass', 'Regine Nehy', 'Leslie Rivers', 'Jamison Yang', 'Youlanda Davis', 'Katelyn Statton']",['Neil LaBute']
356,tm183963,Dreamer: Inspired By a True Story,MOVIE,Ben Crane believes that a severely injured racehorse deserves another chance. He and his daughter Cale adopt the mare and save it from being sacrificed by the owner.,2005,PG,106,"['family', 'drama', 'sport', 'fantasy']",['US'],,tt0418647,6.8,13205.0,10.235,6.9,"['Kurt Russell', 'Dakota Fanning', 'Kris Kristofferson', 'Elisabeth Shue', 'David Morse', 'Freddy Rodríguez', 'Luis Guzmán', 'Oded Fehr', 'Ken Howard', 'Holmes Osborne', 'John Moyer', 'Kayren Butler', 'Tommy Barnes', 'Frank Hoyt Taylor', 'Dan Beene', 'John Newberg', 'Adam Tomei', 'Rhoda Griffis', 'Hutchi Hancock', 'Trevor Denman']",['John Gatins']
357,tm76428,Jackass 2.5,MOVIE,"The crew have now set off to finish what as left over from Jackass 2.0, and in this version they have Wee Man use a 'pee' gun on themselves, having a mini motor bike fracas in the grocery mall, a sperm test, a portly crew member disguised as King Kong, as well as include three episodes of their hilarious adventures in India.",2007,,61,"['documentation', 'comedy']",['US'],,,,,28.197,6.1,"['Johnny Knoxville', 'Steve-O', 'Bam Margera', 'Chris Pontius', 'Spike Jonze', 'Jeff Tremaine', 'Rake Yohn', 'Preston Lacy', 'Jason Acuña', 'Ryan Dunn', 'Ehren McGhehey', 'Mat Hoffman', 'Phil Margera', 'April Margera', 'Brandon DiCamillo', 'Sean Cliver', 'Dimitry Elyashkevich', 'Jack Polick', 'Loomis Fall', 'Trip Taylor', 'Rick Kosick', 'Mike Kassak', 'Manny Puig', 'Seamus Frawley', 'Clyde Singleton', 'Mike Judge', 'Jeff Ross', 'Brandon Novak', 'Dave England', 'D.J. Paul', 'Juicy J', 'Shridhar Chillal', 'T. Nigs']",['Jeff Tremaine']
358,tm77649,Premonition,MOVIE,"A depressed housewife who learns her husband was killed in a car accident the day previously, awakens the next morning to find him alive and well at home, and then awakens the day after to a world in which he is still dead.",2007,PG-13,96,"['thriller', 'drama', 'fantasy']",['US'],,tt0477071,5.9,78494.0,14.21,6.3,"['Sandra Bullock', 'Julian McMahon', 'Courtney Taylor Burness', 'Nia Long', 'Shyann McClure', 'Kate Nelligan', 'Marc Macaulay', 'Ritchie Montgomery', 'Irene Ziegler', 'Phillip DeVona', 'Amber Valletta', 'Peter Stormare', 'Jason Douglas', 'Laurel Whitsett', 'Kristin Ketterer', 'Floriana Tullio', 'Mark Famiglietti', 'David A. Shaffer', 'Marcus Lyle Brown', 'Matt Moore']",['Mennan Yapo']
359,tm86924,Soul Plane,MOVIE,"Following a ridiculously awful flight that leads to his pet's death, Nashawn Wade files a lawsuit against the airline, and wins a multimillion-dollar settlement. Determined to create a better flying experience, Nashawn starts his own airline, one that caters to an African-American clientele. Going into business with a tricked-out plane piloted by the smooth Capt. Mack, the airline hits a snag when it has to deal with the family of Elvis Hunkee.",2004,R,86,"['romance', 'comedy']",['US'],,tt0367085,4.5,23048.0,21.864,5.3,"['Tom Arnold', 'Kevin Hart', 'Method Man', 'Snoop Dogg', 'K.D. Aubert', 'Godfrey', 'D.L. Hughley', ""Mo'Nique"", 'Sofía Vergara', 'John Witherspoon', 'Stacey Travis', 'Angell Conwell', 'La La Anthony', 'Terry Crews', 'Sommore', 'Richard T. Jones', 'Brian Hooks', 'Loni Love', 'Brian Mulligan', 'Arielle Kebbel', 'Ryan Pinkston', 'Lanisha Cole', 'Missi Pyle', 'Gary Anthony Williams', 'Dwayne Adway', 'Angela Robinson Witherspoon', 'Donna Cooper', 'Kendall Carly Browne', 'Charles Walker', 'Brent Strickland', 'Laura Rogers', 'Elisha Wilson', 'Nancy Gibbs', 'T-Pain', 'Kaine', 'D-Roc', 'Karl Malone', 'Chris Robinson']",['Jessy Terrero']
360,ts98340,Metallica: Some Kind of Monster,SHOW,"This collection includes the acclaimed rock documentary about Metallica, plus a film checking in with the still-thriving group 10 years later.",2004,TV-MA,84,['western'],"['CA', 'US']",1.0,tt6954486,,,0.893,,,
361,tm26638,The Texas Chainsaw Massacre: The Beginning,MOVIE,"Chrissie and her friends set out on a road trip for a final fling before one is shipped off to Vietnam. Along the way, bikers harass the foursome and cause an accident that throws Chrissie from the vehicle. The lawman who arrives on the scene kills one of the bikers and brings Chrissie's friends to the Hewitt homestead, where young Leatherface is learning the tools of terror.",2006,R,91,"['thriller', 'horror', 'documentation']",['US'],,tt0420294,5.8,72845.0,57.763,6.1,"['Jordana Brewster', 'Taylor Handley', 'Diora Baird', 'Matt Bomer', 'R. Lee Ermey', 'Lew Temple', 'Andrew Bryniarski', 'Tim DeZarn', 'Lee Tergesen', 'Cyia Batten', 'Terrence Evans', 'Marietta Marich', 'L.A. Calkins', 'Allison Marich', 'Melody Chase', 'Emily Kaye', 'John Larroquette', 'Kathy Lamkin']",['Jonathan Liebesman']
