,title,imdb_score,genres,actors,directors
1128,The Last Kingdom,8.5,"['action', 'drama', 'war', 'history', 'european']","['Alexander Dreymon', 'Emily Cox', 'Eliza Butterworth', 'Mark Rowley', 'Ruby Hartley', 'Cavan Clerkin', 'Arnas Fedaravicius', 'Harry Gilby', 'Timothy Innes', 'Stefanie Martini', 'Phia Saban', 'Adrian Schiller']",
1129,Food Wars! Shokugeki no Soma,8.2,"['drama', 'comedy', 'fantasy', 'thriller', 'animation']","['Yoshitsugu Matsuoka', 'Ai Kayano', 'Maaya Uchida', 'Chinatsu Akasaki', 'Risa Taneda', 'Minami Takahashi', 'Kengo Kawanishi', 'Asami Seto', 'Saori Onishi', 'Junichi Yanagita', 'Junichi Suwabe', 'Taishi Murata', 'Yuki Ono', 'Takahiro Sakurai']",
1130,Hell or High Water,7.6,"['thriller', 'western', 'action', 'crime', 'drama']","['Jeff Bridges', 'Chris Pine', 'Ben Foster', 'Gil Birmingham', 'Marin Ireland', 'Kevin Rankin', 'Dale Dickey', 'William Sterchi', 'Kristen Berg', 'Katy Mixon', 'Buck Taylor', 'Keith Meriweather', 'Amber Midthunder', 'Jackamoe Buzzell', 'Joe Berryman', 'Taylor Sheridan', 'Howard Ferguson Jr.', 'Debrianna Mansini', 'Paul Howard Smith', 'Nathaniel Augustson', 'Ariel Holmes', 'Marie A. Kohl', 'Jim Burleson', 'Gregory Cruz', 'Melanie Papalia', 'Kim Gleason', 'Alma Sisneros', 'Margaret Bowman', 'Ivan Brutsche', 'John-Paul Howard', 'Kevin Wiggins', 'Dylan Kenin', 'Nicole Brady', 'Dick Christie', 'Heidi Sulzman', 'Christopher W. Garcia', 'Richard Beal', 'Crystal Gonzales', 'Ricky Lee', 'Lora Martinez-Cunningham', 'Martin Palmer', 'Terry Dale Parks', 'J. Nathan Simmons', 'Danny Winn']",['David Mackenzie']
1131,The Crown,8.7,"['drama', 'history', 'european']","['Olivia Colman', 'Emma Corrin', 'Tobias Menzies', ""Josh O'Connor"", 'Erin Doherty', 'Helena Bonham Carter', 'Marion Bailey', 'Gillian Anderson', 'Stephen Boxer']",
1132,Ash vs Evil Dead,8.4,"['action', 'scifi', 'comedy', 'horror', 'fantasy', 'thriller']","['Bruce Campbell', 'Lucy Lawless', 'Ray Santiago', 'Dana DeLorenzo', ""Arielle O'Neill""]",
1133,Legend,6.9,"['thriller', 'crime', 'drama', 'european']","['Tom Hardy', 'Emily Browning', 'Christopher Eccleston', 'David Thewlis', 'Taron Egerton', 'Chazz Palminteri', 'Colin Morgan', 'Paul Bettany', 'Tara Fitzgerald', 'Aneurin Barnard', 'Paul Anderson', 'Nicholas Farrell', 'Duffy', 'Kevin McNally', 'John Sessions', 'Sam Spruell', 'Millie Brady', 'Charley Palmer Rothwell', 'Bob Cryer', 'Samantha Pearl', 'Martin McCreadie', 'Jane Wood', 'Mel Raido', 'Adam Fogerty', 'Lorraine Stanley', 'Shane Attwooll', 'Stephen Lord', 'Tim Woodward', 'Chris Mason', 'Frankie Fitzgerald', 'Sam Hoare', 'Joshua Hill', 'MAJOR.', 'Christopher Adamson', 'Lara Cazalet', 'Nick Hendrix', 'Ashley Byam', 'John Sears', 'Robin Hooper', 'John Carr', 'Julia Papp', 'Daniel Westwood', 'Jefferson King', 'Tim Faraday']",['Brian Helgeland']
1134,Blair Witch,5.0,"['thriller', 'horror']","['James Allen McCune', 'Callie Hernandez', 'Brandon Scott', 'Corbin Reid', 'Valorie Curry', 'Wes Robinson', 'Rei Hance']",['Adam Wingard']
1135,War Dogs,7.1,"['crime', 'war', 'comedy', 'drama']","['Miles Teller', 'Jonah Hill', 'Ana de Armas', 'Bradley Cooper', 'Kevin Pollak', 'Patrick St. Esprit', 'Shaun Toub', 'JB Blanc', 'Gabriel Spahiu', 'Julian Sergi', 'Andrei Finti', 'Jeremy Tardy', 'Barry Livingston', 'Jeff Pierre', 'Said Faraj', 'Ashley Spillers', 'Mehdi Merali', 'Aaron Lustig', 'Ashli Haynes', 'Max Daniels', 'Daniel Berson', 'Steve Lantz', 'Gregg Weiner', 'Eddie Jemison', 'Edson Jean', 'Daimion Johnson', 'Bethuel Fletcher', 'Gabriela Alvarez', 'Dan Bilzerian', 'Ali Chen', 'Alisa Allapach', 'Tucker Merrick', 'Mosa Omari', 'Mansour Badri', 'Mohammed Omari', 'Bahram Khosraviani', 'Randy Jay Burrell', 'Stoney Westmoreland', 'Wallace Langham', 'Roy Jenkins', 'Richard Coley', 'Ira Kay', 'Ben Wise', 'Benny Figgins', 'Alin Georgiou Popa', 'Petre Marin', 'Bogdan Albulescu', 'Liliana Cristina Circei', 'Caroline Lowe', 'Lita Lopez', 'Vincent Teixeira', 'Jimmy Badstibner', 'Maria F. Blanco', 'Brian Blu', 'Santos Caraballo', 'Gina Beatriz Castro', 'Nicole Chauvet', 'Bryan Chesters', 'Xavier Cortes', 'Tom Crisp', 'Ellen Marguerite Cullivan', 'Christopher De Stefano', 'Lucas Di Medio', 'Maxwell Acee Donovan', 'Marquest Douglass', 'Ely Feldman', 'Robert J. Fox', 'Adam E. Ginsberg', 'Jasmine Golden', 'Nicole Ilene Greensher', 'Phillip Allen Hall III', 'Sidmar Holloman', 'Avo Jabourian', 'Michaelanthony Jeffers', 'Gregory Kasyan', 'Frederick Keeve', 'Trevor Keveloh', 'Brenda Koo', 'Steven Krasner', 'David W. LeBlanc', 'Tracy Lee', 'Rob Marchitti', 'Andrei Mateiu', 'Chiko Mendez', 'Roman Mitichyan', 'Ryan Morgan', 'Lisa Nygard-Pugh', 'Brittney Rae', 'Daniel E. Rodriguez', 'Mark Roman', 'Efren John Rowan', 'Hassan Said', 'Eric Shackelford', 'Leland Smith', 'Jeffry Tamara', 'Rene Toledo', 'Holly Traister', 'Alan Trujillo', 'Courtney Hope Turner', 'Zachary Vazquez', 'Maegan Vogel', 'André B. Walker', 'Jonathan Yaskoff', 'Christopher Cho']",['Todd Phillips']
1136,Lucifer,8.1,"['scifi', 'crime', 'drama', 'fantasy']","['Tom Ellis', 'Lauren German', 'Kevin Alejandro', 'D.B. Woodside', 'Lesley-Ann Brandt', 'Aimee Garcia', 'Rachael Harris', 'Brianna Hildebrand']",
1137,Forged in Fire,8.3,['reality'],"['Grady Powell', 'David Lain Baker', 'Doug Marcaida', 'J. Neilson']",
1138,The OA,7.8,"['scifi', 'drama', 'fantasy']","['Brit Marling', 'Jason Isaacs', 'Emory Cohen', 'Kingsley Ben-Adir', 'Phyllis Smith', 'Patrick Gibson', 'Brendan Meyer', 'Brandon Perea', 'Ian Alexander', 'Will Brill', 'Sharon Van Etten', 'Paz Vega', 'Chloë Levine']",
1139,Blackhat,5.4,"['action', 'crime', 'thriller']","['Chris Hemsworth', 'Leehom Wang', 'Tang Wei', 'Viola Davis', 'Holt McCallany', 'Andy On', 'Ritchie Coster', 'Christian Borle', 'John Ortiz', 'Yorick van Wageningen', 'Tyson Chak', 'Brandon Molale', 'Danny Burstein', 'Archie Kao', 'Abhi Sinha', 'Jason Butler Harner', 'Manny Montana', 'Spencer Garrett', 'Shi Liang', 'Kan Mok', 'David Lee McKinney', 'Sophia Santi', 'José Luis Márquez', 'Victor Chi', 'Peter Jae', 'Eddie Cheung', 'Tommy Wong', 'Ivan Ngan', 'Courtney Wu', 'Adrian Pang', 'Kirt Kishita', 'Marcus Mok', 'Timothy Nga', 'William Mapother', 'Kamal', 'Anyu U. Rosli', 'Frank Cutler', 'Jeff Roncone', 'Michael Flores', 'Berg Lee', 'Anom Perkasa', 'Jonathan Ozoh', 'Eric Berindei', 'Jeremy Tatar', 'Gerald Petrow', 'Brian Labahn', 'Daniel Cahill', 'Todd Emert', 'Peter Rowley', 'Razaq Sahibjahn', 'Mohd Gaizudeen Sahibjahn', 'Yonkky Daniel Parengkoan', 'Musim Surbakti', 'Fadillah Ramadhan Rachmat', 'Qurais Mohammed', 'Acil Azis Amirullah', 'Seth Adams', 'Michael Bentt', 'Vicki Damante', 'Cheryl Dent', 'Sara Finley', 'Beth Fryman', 'Joe Rudy Guerrero Jr.', 'Tania Gunadi', 'Kaidy Kuna', 'Seth Leslie', 'Thomas Longo', 'Wilfred Lopez', 'Silvia McClure', 'Dina Morrone', 'Harry Oram', 'Lyn Quinn', 'Neil Sandilands', 'Alexander von Roon']",['Michael Mann']
1140,The Take,6.3,"['action', 'drama', 'crime', 'thriller']","['Idris Elba', 'Richard Madden', 'Charlotte Le Bon', 'Kelly Reilly', 'José Garcia', 'Anatol Yusef', 'Ériq Ebouaney', 'Alex Fondja', 'Arieh Worthalter', 'Thierry Godard', 'Vincent Londez', 'Stéphane Caillard', 'Mohamed Makhtoumi', 'Théo Costa-Marini', 'Jérôme Gaspard', 'Ines Boughanmi', 'Jorge Leon Martinez', 'Valeria Ragonese', 'Tugba Tirpan', 'Daniel Westwood']",['James Watkins']
1141,Nocturnal Animals,7.5,"['thriller', 'drama']","['Amy Adams', 'Jake Gyllenhaal', 'Michael Shannon', 'Aaron Taylor-Johnson', 'Isla Fisher', 'Ellie Bamber', 'Armie Hammer', 'Karl Glusman', 'Robert Aramayo', 'Laura Linney', 'Andrea Riseborough', 'Michael Sheen', 'Bobbi Salvör Menuez', 'Imogen Waterhouse', 'Franco Vega', 'Zawe Ashton', 'Evie Pree', 'Beth Ditto', 'Graham Beckel', 'Neil Jackson', 'Jena Malone', 'Lee Benton', 'Kristin Bauer van Straten', 'Sydney Schafer', 'Evan Bittencourt', 'Janet Song', 'Michele Dunn', 'Lori Jean Wilson', 'Peggy Fields Richardson', 'Piper Major', 'Moose Ali Khan', 'Brianna Barnes', 'Amanda Fields', 'Joshua D. Eads', 'Jonathan Fredrick', 'Alizee Gaillard', 'Nick Hounslow', 'Kerstin Lechner', 'Carson Nicely', 'Christopher Pinkalla', 'Tonia Marie Rosée', 'Errol Sack', 'Brian Stivale', 'Chelsea Taylor', 'Jack Wallace', 'Jackie Zane', 'Maria Zyrianova']",['Tom Ford']
1142,Raw,7.0,"['horror', 'drama', 'fantasy', 'european']","['Garance Marillier', 'Ella Rumpf', 'Rabah Nait Oufella', 'Laurent Lucas', 'Joana Preiss', 'Bouli Lanners', 'Marion Vernoux', 'Thomas Mustin', 'Marouan Iddoub', 'Jean-Louis Sbille', 'Benjamin Boutboul', 'Virgil Leclaire', 'Anna Solomin', 'Sophie Breyer', 'Daniel Utegenova', 'Bérangère Mc Neese', 'Morgan Politi', ""Alice D'Hauwe"", 'Pierre Nisse', 'Maïté Katinka Lonne', 'Amandine Hinnekens', 'Sibylle du Plessy', 'Denis Mpunga', 'Alexis Julemont', 'Lich Jass', 'Helena Coppejans', 'Charlotte Sandersen', 'Christophe Menier', 'Julianne Binard']",['Julia Ducournau']
1143,The Hateful Eight,7.8,"['thriller', 'western', 'drama', 'crime']","['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins', 'Demián Bichir', 'Tim Roth', 'Michael Madsen', 'Bruce Dern', 'James Parks', 'Dana Gourrier', 'Zoë Bell', 'Lee Horsley', 'Gene Jones', 'Keith Jefferson', 'Craig Stark', 'Belinda Owino', 'Channing Tatum', 'Quentin Tarantino']",['Quentin Tarantino']
1144,The Magicians,7.6,"['scifi', 'drama', 'fantasy']","['Olivia Taylor Dudley', 'Arjun Gupta', 'Stella Maeve', 'Jade Tailor', 'Hale Appleman', 'Summer Bishil']",
1145,Miraculous: Tales of Ladybug & Cat Noir,7.7,"['animation', 'action', 'family', 'fantasy', 'romance']","['Annouck Hautbois', 'Benjamin Bollen', 'Marie Nonnenmacher', 'Thierry Kazazian', 'Antoine Tomé', 'Fanny Bloc', ""Alexandre N'Guyen"", 'Marie Chevalot', 'Adeline Chetail', 'Martial Le Minoux', 'Jessie Lambotte']",
1146,Queen of the South,7.9,"['drama', 'thriller', 'action', 'crime']","['Alice Braga', 'Hemky Madera']",
1147,Grace and Frankie,8.2,"['drama', 'comedy']","['Jane Fonda', 'Lily Tomlin', 'Martin Sheen', 'Sam Waterston', 'Ethan Embry', 'Brooklyn Decker', 'June Diane Raphael', 'Baron Vaughn']",
1148,Designated Survivor,7.5,"['war', 'action', 'drama', 'thriller']","['Kiefer Sutherland', 'Maggie Q', 'Kal Penn', 'Adan Canto', 'Italia Ricci', 'Emiliano Díez']",
1149,Slasher,6.7,"['crime', 'drama', 'horror', 'thriller']","['Jeananne Goossen', 'Sydney Meyer', 'Paula Brancati', 'Christopher Jacot', 'Jefferson Brown', 'Patrice Goodman', 'Sabrina Grdevich', 'David Cronenberg', 'Rachael Crawford', 'Alex Ozerov']",
1150,60 Days In,7.6,"['documentation', 'reality']","['Isaiah Jenkins', 'Jeffrey Downs', 'Tami Ferraiuolo', 'Robert Holcomb', 'Barbra Roylance Williams', 'Maryum', 'Zac Baker']",
1151,Fauda,8.2,"['war', 'drama', 'thriller', 'action']","['Lior Raz', 'Netta Garti', 'Doron Ben-David', ""Rona-Lee Shim'on"", 'Itzik Cohen', 'Boaz Konforty', 'Yaakov Zada Daniel']",
1152,Call My Agent!,8.3,"['comedy', 'drama', 'european']","['Camille Cottin', 'Thibault de Montalembert', 'Grégory Montel', 'Liliane Rovère', 'Laure Calamy', 'Nicolas Maury', 'Fanny Sidney', 'Stéfi Celma', 'Ophélia Kolb', 'Anne Marivin', 'Assaad Bouab']",
1153,Travelers,8.0,"['scifi', 'thriller', 'drama']","['Eric McCormack', 'MacKenzie Porter', 'Nesta Cooper', 'Jared Abrahamson', 'Reilly Dolman', 'Patrick Gilmore']",
1154,Pan,5.7,"['action', 'fantasy', 'family', 'comedy']","['Levi Miller', 'Garrett Hedlund', 'Hugh Jackman', 'Amanda Seyfried', 'Rooney Mara', 'Nonso Anozie', 'Kathy Burke', 'Adeel Akhtar', 'Cara Delevingne', 'Paul Kaye', 'Emerald Fennell', 'Lewis MacDougall', 'Na Tae-joo', 'Jack Charles', 'Bronson Webb', 'Kurt Egyiawan', 'Jack Lowden', 'Jimmy Vee', 'Aaron Monaghan', 'Ami Metcalf', 'Spencer Wilding', 'Samuel Brown', 'Jacob Greener-Tofts', 'Wilson Radjou-Pujalte', 'Aaran Mitra', 'Louis Partridge', 'Zakk Pierce', 'Oliver Payne', 'William Wright-Neblett']",['Joe Wright']
1155,The Gift,7.0,"['drama', 'thriller', 'documentation']","['Jason Bateman', 'Rebecca Hall', 'Joel Edgerton', 'Allison Tolman', 'Tim Griffin', 'Busy Philipps', 'Adam Lazarre-White', 'Beau Knapp', 'Wendell Pierce', 'Mirrah Foulkes', 'Nash Edgerton', 'David Denman', 'Katie Aselton', 'David Joseph Craig', 'Susan May Pratt', 'P.J. Byrne', 'Felicity Price', 'Melinda Allen', 'Beth Crudele', 'Jyothi Venkatesh', 'Laura Drake Mancini', 'Darren P. Leis', 'Stacey Bender']",['Joel Edgerton']
1156,Wild Card,5.6,"['action', 'thriller', 'crime', 'drama']","['Jason Statham', 'Michael Angarano', 'Dominik Garcia', 'Milo Ventimiglia', 'Hope Davis', 'Max Casella', 'Stanley Tucci', 'Sofía Vergara', 'Jason Alexander', 'Anne Heche', 'Chris Browning', 'Matthew Willig', 'François Vincentelli', 'Davenia McFadden', 'Michael Papajohn', 'Jean Claude Leuyer', 'Greice Santo', 'Freddie Poole', 'Nick Epper', 'Lara Grice', ""D'Arcy Allen"", 'Shanna Forrestall', 'Lee Perkins', 'Angela Kerecz', 'Kyle Clements', 'Allison Wirges', 'Billy Tilk', 'Pete Antico', 'J. Travis Merendino', 'Clayton J. Barber', 'Diana Durango']",['Simon West']
1157,Medici: Masters of Florence,7.9,"['war', 'romance', 'thriller', 'drama', 'history', 'european']","['Daniel Sharman', 'Synnøve Karlsen', 'Alessandra Mastronardi', 'Sebastian de Souza', 'Francesco Montanari', 'Johnny Harris', 'Gualtiero Burzi', 'Sean Bean', 'Bradley James', 'Sarah Parish']",
1158,Leah Remini: Scientology and the Aftermath,9.0,"['documentation', 'history']","['Leah Remini', 'Mike Rinder']",
1159,Bloodline,7.9,"['drama', 'thriller']","['Kyle Chandler', 'Linda Cardellini', 'Norbert Leo Butz', 'Jamie McShane', 'Sissy Spacek', 'Beau Bridges', 'Chloë Sevigny']",
1160,Crazy Ex-Girlfriend,7.8,['comedy'],"['Rachel Bloom', 'Donna Lynne Champlin', 'Vincent Rodriguez III', 'Pete Gardner', 'Vella Lovell', 'Gabrielle Ruiz', 'Scott Michael Foster']",
1161,Narcos,8.8,"['drama', 'thriller', 'crime']","['Pedro Pascal', 'Matias Varela', 'Damián Alcázar', 'Francisco Denis', 'Alberto Ammann', 'Pêpê Rapazote', 'Arturo Castro', 'Michael Stahl-David', 'Matt Whelan', 'Andrea Londo']",
1162,DC's Legends of Tomorrow,6.8,"['drama', 'action', 'scifi']","['Caity Lotz', 'Tala Ashe', 'Jes Macallan', 'Olivia Swann', 'Adam Tsekhman', 'Shayan Sobhian', 'Lisseth Chavez', 'Amy Pemberton', 'Nick Zano', 'Matt Ryan']",
1163,Norsemen,7.7,"['comedy', 'drama', 'history']","['Trond Fausa Aurvåg', 'Jon Øigarden', 'Kåre Conradi', 'Mikkel Bratt Silset', 'Nils Jørgen Kaalstad', 'Kristine Riis', 'Bjørn Hallgeir Myrene', 'Marian Saastad Ottesen', 'Nikis Theophilakis', 'Silje Torp', 'Øystein Martinsen', 'Christian Skolmen', 'Erik Aleksander Schjerven', 'Ingar Helge Gimle', 'Finn Schau', 'Richard Skog', 'Egil Birkeland']",
1164,Shooter,7.5,"['action', 'war', 'drama']","['Ryan Phillippe', 'Shantel VanSanten', 'Cynthia Addai-Robinson', 'Omar Epps', 'Lexy Kolker', 'Jesse Bradford']",
1165,Marcella,7.4,"['crime', 'drama', 'european']","['Anna Friel', 'Nicholas Pinnock', 'Ray Panthaki', 'Sinéad Cusack', 'Nina Sosanya', 'Jamie Bamber', 'Harry Lloyd', 'Ian Puleston-Davies', 'Robert Whitelock', 'Laura Carmichael', 'Charlie Covell', 'Jack Doolan', 'David Mallet', 'Maeve Dermody', 'Nick Hendrix', 'Patrick Baladi', 'Ben Cura', 'Tobias Santelmann']",
1166,Into the Badlands,7.9,"['action', 'drama']","['Daniel Wu', 'Emily Beecham', 'Nick Frost', 'Orla Brady', 'Alexia Ioannides', 'Aramis Knight', 'Maddison Jaizani']",
1167,"Hail, Caesar!",6.3,"['comedy', 'drama', 'music']","['Josh Brolin', 'George Clooney', 'Alden Ehrenreich', 'Ralph Fiennes', 'Scarlett Johansson', 'Tilda Swinton', 'Channing Tatum', 'Frances McDormand', 'Jonah Hill', 'Veronica Osorio', 'Heather Goldenhersh', 'Alison Pill', 'Max Baker', 'Fisher Stevens', 'Patrick Fischler', 'Tom Musgrave', 'David Krumholtz', 'Greg Baldwin', 'Patrick Carroll', 'Fred Melamed', 'John Bluthal', 'Alex Karpovsky', 'Armazd Stepanian', 'Allan Havey', 'Robert Pike Daniel', 'Robert Picardo', 'Ian Blackman', 'Geoffrey Cantor', 'Christopher Lambert', 'Robert Trebor', 'Michael Yama', 'Ming Zhao', 'Helen Siff', 'Basil Hoffman', 'Luke Spencer Roberts', 'Ralph P. Martin', 'James Austin Johnson', 'Noah Baron', 'Timm Perry', 'Noel Conlon', 'Natasha Bassett', 'Richard Abraham', 'Jon Daly', 'Dennis Cockrum', 'Clancy Brown', 'Mather Zickel', 'Tiffany Lonsdale', 'Clement von Franckenstein', 'Wayne Knight', 'Jeff Lewis', 'Kyle Bornheimer', 'Josh Cooke', 'Peter Jason', 'Stephen Ellis', 'Jillian Armenante', 'Jacob Witkin', 'Jack Huston', 'Agyness Deyn', 'Emily Beecham', 'Benjamin Beatty', 'J.R. Horne', 'Caitlin Muelder', 'E.E. Bell', 'Kate Morgan Chadwick', 'Brian Michael Jones', 'Peter Banifaz', 'Clifton Samuels', 'K.C. Reischerl', 'Jeremy Davis', 'Marcos Ochoa', 'Colin Bradbury', 'Ryan Breslin', 'Tyler Hanes', 'Casey Garvin', 'Luke Hawkins', 'Evan Kasprzak', 'Patrick Lavallee', 'Adam Perry', 'Ryan VanDenBoom', 'Alex Demkin', 'Dax Hock', 'Shesha Marvin', 'Mark Stuart', 'Forrest Walsh', 'Michael Gambon', 'Tomoko Karina', 'Dolph Lundgren', 'Dean England', 'Sandy Mansson', 'Jessee Foudray', 'Ryan Izay', 'Johnny Otto', 'John Lobato', 'Sergio Kato']","['Joel Coen', 'Ethan Coen']"
1168,Scream: The TV Series,7.1,"['thriller', 'drama', 'crime', 'horror', 'comedy']","['RJ Cyler', 'Jessica Sula', 'Keke Palmer', 'Giorgia Whigham', 'Tyga']",
1169,iZombie,7.8,"['crime', 'scifi', 'drama', 'comedy', 'horror']","['Rose McIver', 'David Anders', 'Robert Buckley', 'Malcolm Goodwin', 'Rahul Kohli', 'Aly Michalka', 'Bryce Hodgson']",
1170,Crimson Peak,6.5,"['horror', 'thriller', 'romance', 'fantasy', 'drama']","['Mia Wasikowska', 'Jessica Chastain', 'Tom Hiddleston', 'Charlie Hunnam', 'Jim Beaver', 'Burn Gorman', 'Leslie Hope', 'Jonathan Hyde', 'Doug Jones', 'Bruce Gray', 'Emily Coutts', 'Alec Stockwell', 'Brigitte Robinson', 'Gillian Ferrier', 'Tamara Hope', 'Kimberly-Sue Murray', 'Sofia Wells', 'Joanna Douglas', 'Bill Lake', 'Jim Watson', 'Javier Botet', 'Peter Spence', 'Danny Waugh', 'Sean Hewitt', 'William Healy', 'Matia Jackett', 'Karen Glave', 'Khadijah Roberts-Abdullah', 'John Carter Craig', 'Martin Julien', 'Brian Kaulback', 'Richard Kerr', 'Shane McPherson', 'Tim Blake', 'Thomas Dorey', 'Erik Bauersfield', 'Beatrice Basso', 'Mitzi McCall', 'Susanne Blakeslee', 'Drew Davis', 'T.J. McGibbon', 'Anneliese Goldman', 'Jenna Weir', 'Amanda Smith', 'Laura Waddell']",['Guillermo del Toro']
1171,Supergirl,6.2,"['scifi', 'action', 'drama']","['Melissa Benoist', 'Chyler Leigh', 'David Harewood', 'Katie McGrath', 'Jesse Rath', 'Nicole Maines', 'Azie Tesfai', 'Julie Gonzalo', 'Staz Nair', 'Peta Sergeant']",
1172,Sense8,8.2,"['scifi', 'drama', 'thriller']","['Miguel Ángel Silvestre', 'Max Riemelt', 'Jamie Clayton', 'Bae Doona', 'Brian J. Smith', 'Tuppence Middleton', 'Freema Agyeman', 'Naveen Andrews', 'Daryl Hannah', 'Tina Desai', 'Toby Onwumere', 'Terrence Mann']",
1173,Bāhubali: The Beginning,8.0,"['action', 'drama', 'fantasy']","['Prabhas', 'Rana Daggubati', 'Tamanna Bhatia', 'Anushka Shetty', 'Ramya Krishnan', 'Nassar', 'Sathyaraj', 'Sudeep', 'Adivi Sesh', 'Tanikella Bharani', 'Prabhakar', 'Rohini', 'Rakesh Varre', 'Ramakrishna Meka', 'S. S. Rajamouli', 'Charandeep', 'Scarlett Mellish Wilson', 'Nora Fatehi', 'Gabriela Bertante', 'Bharani Shankar', 'Kalpalatha', 'John Kokken']",['S. S. Rajamouli']
1174,Kim's Convenience,8.2,['comedy'],"['Paul Sun-Hyung Lee', 'Jean Yoon', 'Andrea Bang', 'Simu Liu', 'Andrew Phung', 'Nicole Power', 'Benjamin Beauchemin']",
1175,Ouija: Origin of Evil,5.3,"['drama', 'horror', 'thriller']","['Elizabeth Reaser', 'Lulu Wilson', 'Annalise Basso', 'Henry Thomas', 'Parker Mack', 'Doug Jones', 'Sam Anderson', 'Kate Siegel', 'Alexis G. Zall', 'Halle Charlton', 'Ele Keats', 'Nicholas Keenan', 'Lin Shaye', 'Eve Gordon', 'Lincoln Melcher', 'Chelsea Gonzalez', 'John Prosky']",['Mike Flanagan']
1176,Wynonna Earp,7.3,"['western', 'action', 'scifi', 'thriller', 'drama', 'fantasy']","['Melanie Scrofano', 'Tim Rozon', 'Dominique Provost-Chalkley', 'Kat Barrell', 'Varun Saranga', 'Greg Lawson', 'Martina Ortiz Luis']",
1177,Unbreakable Kimmy Schmidt,7.6,"['comedy', 'drama']","['Ellie Kemper', 'Tituss Burgess', 'Jane Krakowski', 'Carol Kane']",
1178,Sinister 2,5.3,"['horror', 'thriller']","['James Ransone', 'Shannyn Sossamon', 'Robert Daniel Sloan', 'Dartanian Sloan', 'Lea Coco', 'Tate Ellington', 'John Beasley', 'Lucas Jade Zumann', 'Jaden Klein', 'Laila Haley', 'Caden M. Fritz', 'Olivia Rainey', 'Nicholas King', 'Delphine Pontvieux', 'Michael B. Woods', 'Tory O. Davis', 'Howie Johnson', 'Grace Holuby', 'John Francis Mountain', 'Nicole Santini', 'Stephen Varga', 'Skylar McClure', 'Nico Ford']",['Ciarán Foy']
1179,The Edge of Seventeen,7.3,"['drama', 'comedy']","['Hailee Steinfeld', 'Haley Lu Richardson', 'Blake Jenner', 'Woody Harrelson', 'Kyra Sedgwick', 'Hayden Szeto', 'Alexander Calvert', 'Eric Keenleyside', 'Nesta Cooper', 'Meredith Monroe', 'Katie Stuart', 'Lina Renna', 'Christian Michael Cooper', 'Ava Grace Cooper', 'Laine MacNeil', 'Jena Skodje', 'Daniel Bacon', 'Kavandeep Hayre', 'Lyle Reginald', 'Chris Shields', 'Christian Lagasse', 'Kirsten Robek', 'Laura Ward']",['Kelly Fremon Craig']
1180,Dark Matter,7.5,"['scifi', 'thriller', 'drama', 'action']","[""Melissa O'Neil"", 'Anthony Lemke', 'Alex Mallari Jr.', 'Jodelle Ferland', 'Roger Cross', 'Zoie Palmer']",
1181,London Has Fallen,5.9,"['action', 'thriller', 'drama', 'crime']","['Gerard Butler', 'Aaron Eckhart', 'Angela Bassett', 'Morgan Freeman', 'Melissa Leo', 'Robert Forster', ""Sean O'Bryan"", 'Radha Mitchell', 'Jackie Earle Haley', 'Charlotte Riley', 'Mehdi Dehbi', 'Colin Salmon', 'Alon Aboutboul', 'Jorge Leon Martinez', 'Waleed Zuaiter', 'Adel Bencherif', 'Shivani Ghai', 'Michael Wildman', 'Bryan Larkin', 'Penny Downie', 'Patrick Kennedy', 'Deborah Grant', 'Andrew Pleavin', 'Nigel Whitmey', 'Julia Montgomery Brown', 'Alex Giannini', 'Elsa Mollien', 'Philip Delancy', 'Nikesh Patel', 'Nancy Baldwin', 'Terence Beesley', 'Kemi-Bo Jacobs', 'Simon Harrison', 'Guy Williams', 'Tsuwayuki Saotome', 'Sadao Ueda']",['Babak Najafi']
1182,Flowers,8.1,"['comedy', 'drama', 'european']","['Olivia Colman', 'Julian Barratt', 'Sophia Di Martino', 'Daniel Rigby', 'Will Sharpe', 'Anna Chancellor', 'Rico Canadinhas', 'Alistair Green', 'Zita Sattar', 'Angus Wright', 'Colin Hurley', 'Hammed Animashaun', 'Desiree Akhavan', 'Helen Cripps', 'Sharon Young', 'Maite Jáuregui']",
1183,A Silent Voice: The Movie,8.1,"['animation', 'drama', 'romance', 'family']","['Miyu Irino', 'Saori Hayami', 'Aoi Yuki', 'Kensho Ono', 'Yuki Kaneko', 'Yui Ishikawa', 'Megumi Han', 'Toshiyuki Toyonaga', 'Mayu Matsuoka', 'Sachiko Kojima', 'Hana Takeda', 'Fuminori Komatsu', 'Ikuko Tani', 'Erena Kamata', 'Ayano Hamaguchi', 'Ryunosuke Watanuki', 'Ryo Nishitani', 'Takuya Masumoto', 'Satsuki Yukino', 'Akiko Hiramatsu']",['Naoko Yamada']
