title,country,release_year,rating,duration,description,year_added,month_added,year_month_added,imdb_score,genres,actors,directors
Confessions of an Invisible Girl,,2021,TV-PG,91 min,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2021,September,"September, 2021",5.2,"['comedy', 'drama']","['Klara Castanho', 'Gabriel Lima', 'Júlia Gomes', 'Marcus Bessa', 'Lucca Picon', 'Caio Cabral', 'Kiria Malheiros', 'Fernanda Concon', 'Rosane Gofman', 'Stepan Nercessian', 'Júlia Rabello', 'Alcemar Vieira', 'Ana Miranda', 'Thiago Justino', 'Thalita Rebouças', 'Roberta Santiago', 'Leonardo Cidade', 'Leo Tucherman', 'Jade Cardozo', 'Alex Patrício', 'Tom Cabral', 'Brian Monteiro', 'Vitória Masciel', 'Bruna Ventura', 'Chao Chen', 'Bruno Lamberg']",['Bruno Garotti']
Crime Stories: India Detectives,,2021,TV-MA,1 Season,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,2021,September,"September, 2021",7.1,"['documentation', 'crime']",,
Dear White People,United States,2021,TV-MA,4 Seasons,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",2021,September,"September, 2021",6.1,"['comedy', 'drama']","['Logan Browning', 'Brandon P. Bell', 'DeRon Horton', 'Antoinette Robertson', 'John Patrick Amedori', 'Ashley Blaine Featherson', 'Marque Richardson', 'Giancarlo Esposito']",
Europe's Most Dangerous Man: Otto Skorzeny in Spain,,2020,TV-MA,67 min,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",2021,September,"September, 2021",,,,
Falsa identidad,Mexico,2020,TV-MA,2 Seasons,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,2021,September,"September, 2021",7.0,"['crime', 'action', 'drama', 'thriller']","['Luis Ernesto Franco', 'Camila Sodi', 'Dulce María', 'Samadhi Zendejas', 'Eduardo Yáñez', 'Sonya Smith', 'Barbie Casillas', 'Pepe Gámez', 'Gabriela Roel', 'Uriel del Toro', 'Azela Robinson', 'Checo Perezcuadra', 'Marco de la O', 'Otto Sirgo']",
Intrusion,,2021,TV-14,94 min,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",2021,September,"September, 2021",5.2,"['thriller', 'drama']","['Freida Pinto', 'Logan Marshall-Green', 'Robert John Burke', 'Megan Elisabeth Kelly', 'Sarah Minnich', 'Hayes Hargrove', 'Mark Sivertsen', 'Brandon Fierro', 'Antonio Valles', 'Clint Obenchain', 'David DeLao', 'Danielle Fisher Johnson', 'Brandon Root']",['Adam Salky']
Jaguar,,2021,TV-MA,1 Season,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",2021,September,"September, 2021",5.7,"['drama', 'war', 'action', 'history']","['Blanca Suárez', 'Iván Marcos', 'Francesc Garrido', 'Adrián Lastra', 'Óscar Casas', 'Stefan Weinert']",
Monsters Inside: The 24 Faces of Billy Milligan,,2021,TV-14,1 Season,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",2021,September,"September, 2021",6.2,"['documentation', 'crime']","['Kathy Preston', 'Jim Morrison', 'George Harding', 'Jim Murray', 'Sheila Porter', 'Sharon Lansing', 'Pam Flynn', 'Terry Sherman', 'Lewis Williams', ""Ron O'Brien"", 'Jamie Schmerbeck', 'Bob Baumgardt', 'Dorothy Moore', 'Dr. Ronald Litvak', 'Dr. Marlene Kocan', 'Dr. Allen J. Frances']",['Olivier Megaton']
Resurrection: Ertugrul,Turkey,2018,TV-14,5 Seasons,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",2021,September,"September, 2021",7.9,"['action', 'war', 'drama', 'history']","['Engin Altan Düzyatan', 'Hülya Darcan', 'Didem Balçın', 'Cengiz Coşkun', 'Nurettin Sönmez', 'Celal Al']",
Avvai Shanmughi,,1996,TV-PG,161 min,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",2021,September,"September, 2021",,,,
Go! Go! Cory Carson: Chrissy Takes the Wheel,,2021,TV-Y,61 min,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2021,September,"September, 2021",,,,
Jeans,India,1998,TV-14,166 min,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",2021,September,"September, 2021",6.4,"['comedy', 'drama', 'romance']","['Prashanth Thyagarajan', 'Aishwarya Rai Bachchan', 'Nassar', 'Lakshmi', 'Raju Sundaram', 'Radhika Sarathkumar', 'Senthil', 'S.Ve. Sekar', 'Janaki Sabesh', 'Geetha', 'S. N. Lakshmi', 'Ganthimathi']",['Shankar']
Love on the Spectrum,Australia,2021,TV-14,2 Seasons,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",2021,September,"September, 2021",8.6,"['reality', 'romance', 'documentation']",['Brooke Satchwell'],
Minsara Kanavu,,1997,TV-PG,147 min,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,2021,September,"September, 2021",6.7,"['comedy', 'romance', 'drama']","['Arvind Swamy', 'Prabhu Deva', 'Kajol', 'Arundathi Nag', 'Nassar', 'Girish Karnad', 'S. P. Balasubramaniam', 'Prakash Raj', 'Ranvir Shah', 'V. K. Ramasamy', 'Mohan Raman', 'Rallapalli Narasimha', 'Janaki Sabesh', 'P. J. Sarma', 'Rajiv Menon', 'Gautham Vasudev Menon', 'Vikram']",['Rajiv Menon']
