title,country,release_year,rating,duration,description,year_added,month_added,year_month_added,imdb_score,genres,actors,directors
Peasants Rebellion,Lebanon,2018,TV-14,1 Season,"In feudalistic Lebanon, farmers revolt against the nobility under the leadership of a revolutionary figure who champions the oppressed.",2021,April,"April, 2021",,,,
Power Players,"United States, France",2020,TV-Y,3 Seasons,A kid transforms into an action figure-sized superhero and teams with his toys in a fight against a villainous robot to save the world.,2021,April,"April, 2021",6.0,"['comedy', 'fantasy', 'scifi', 'animation', 'action']","['Carlos Salazar', 'Greg Chun', 'Jamieson Price', 'Kieran Walton', 'Reba Buhr', 'Landon McDonald', 'Todd Haberkorn']",
Ricky Zoom,"China, United Kingdom",2019,TV-Y,1 Season,Race along with Ricky Zoom and his loyal Bike Buddies as they zip around their two-wheeled town of Wheelford on rescue missions and learn speedy stunts!,2021,April,"April, 2021",6.3,"['animation', 'family']",,
Ride or Die,Japan,2021,TV-MA,143 min,"Rei helps the woman she’s been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.",2021,April,"April, 2021",5.6,"['thriller', 'romance', 'drama']","['Kiko Mizuhara', 'Honami Sato', 'Yoko Maki', 'Anne Suzuki', 'Shunsuke Tanaka', 'Tetsushi Tanaka', 'Sara Minami', 'Yui Uemura', 'Shinya Niiro', 'Setsuko Karasuma']",['Ryuichi Hiroki']
Sonic X,Japan,2003,TV-Y7,2 Seasons,"A mission gone awry transports Sonic the Hedgehog, his friends, Dr. Eggman and the Chaos Emeralds to another dimension: Earth.",2021,April,"April, 2021",6.2,"['family', 'animation', 'action', 'comedy', 'drama', 'thriller', 'fantasy', 'scifi']","[""Jun'ichi Kanemaru"", 'Sanae Kobayashi', 'Taeko Kawata', 'Nobutoshi Canna', 'Sayaka Aoki', 'Etsuko Kozakura', 'Koji Yusa', 'Rumi Ochiai', 'Ryo Hirohashi', 'Bin Shimada', 'Chikao Ohtsuka', 'Jouji Nakata', 'Ken Narita', 'Kujira', 'Sōichirō Tanaka', 'Yukari Hikida', 'Hiroomi Sugino', 'Jennifer Douillard', 'Ryan Drummond', 'David Humphrey', 'Lani Minella', 'Mike Pollock', 'Scott Dreier', 'William Corkery', 'Corey Bringas', 'Danny Cooksey', 'Jon St. John', 'Amy Birnbaum', 'Amy Palant', 'Jason Griffith', 'James Carter Cathcart']",
The Master,United States,2012,R,137 min,"A heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion.""",2021,April,"April, 2021",,,,
Time Is Illmatic,United States,2014,TV-MA,75 min,"Providing a behind-the-scenes look at the making of Nas's debut album, this documentary also delves into his deep connection to his New York roots.",2021,April,"April, 2021",,,,
Wave of Cinema: One Day We'll Talk About Today,,2020,TV-14,71 min,"Delve into a musical concert and relive moments from ""One Day We'll Talk About Today,"" a film about family and intergenerational trauma.",2021,April,"April, 2021",,,,
Zoot Suit,United States,1981,R,103 min,"In this drama based on a 1940s trial, the members of a Mexican American gang are sentenced to San Quentin for a murder they may not have committed.",2021,April,"April, 2021",,,,
Ajaibnya Cinta,,2015,TV-PG,1 Season,"Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss.""",2021,April,"April, 2021",,,,
Dad Stop Embarrassing Me!,United States,2021,TV-14,1 Season,A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.,2021,April,"April, 2021",4.1,"['comedy', 'family']","['Jamie Foxx', 'Kyla-Drew', 'David Alan Grier', 'Porscha Coleman', 'Heather Hemmens', 'Valente Rodriguez', 'Paul Toweh', 'Jonathan Kite']",
Fate: The Winx Saga,"Italy, United Kingdom",2021,TV-MA,1 Season,"Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school.",2021,April,"April, 2021",6.8,"['scifi', 'drama', 'fantasy', 'action']","['Abigail Cowen', 'Hannah van der Westhuysen', 'Precious Mustapha', 'Elisha Applebaum', 'Eliot Salt', 'Danny Griffin', 'Sadie Soverall', 'Robert James-Collier', 'Eve Best', 'Theo Graham', 'Alex MacQueen', 'Niamh Cremin']",
House of Cards,United States,2018,TV-MA,6 Seasons,"A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama.",2021,April,"April, 2021",8.7,['drama'],"['Robin Wright', 'Michael Kelly', 'Constance Zimmer', 'Patricia Clarkson', 'Derek Cecil', 'Boris McGiver', 'Lars Mikkelsen', 'Cody Fern', 'Diane Lane', 'Greg Kinnear', 'Campbell Scott']",
Indian Matchmaking,"United States, India",2020,TV-14,1 Season,"Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era.",2021,April,"April, 2021",6.2,"['reality', 'documentation', 'romance']",,
Jeffrey Epstein: Filthy Rich,United States,2020,TV-MA,1 Season,Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.,2021,April,"April, 2021",7.1,"['documentation', 'crime']","['Jeffrey Epstein', 'Ghislaine Maxwell']",['Lisa Bryant']
Law School,South Korea,2021,TV-14,1 Season,"When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students.",2021,April,"April, 2021",8.0,"['crime', 'drama', 'thriller']","['Kim Myung-min', 'Kim Bum', 'Ryu Hye-young', 'Lee Jung-eun', 'Park Hyuk-kwon', 'Ahn Nae-sang', 'Jung Won-joong', 'Lee Soo-kyung', 'Lee Da-wit', 'Go Youn-jung', 'Hyun Woo', 'Kil Hae-yeon', 'Woo Hyeon', 'Oh Man-seok', 'Lee Chun-hee', 'Jo Jae-ryong', 'Kim Min-seok']",['Kim Sok-yun']
Living with Yourself,United States,2019,TV-MA,1 Season,"Burned out on life, Miles undergoes a strange procedure at a strip mall spa – and wakes to find he's been replaced by a better version of himself.",2021,April,"April, 2021",7.2,"['drama', 'scifi', 'comedy']","['Paul Rudd', 'Aisling Bea']",
Signal,South Korea,2016,TV-MA,1 Season,"Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice.",2021,April,"April, 2021",8.5,"['crime', 'thriller', 'drama', 'fantasy', 'scifi']","['Lee Je-hoon', 'Kim Hye-soo', 'Cho Jin-woong', 'Jang Hyun-sung', 'Jung Hae-kyun', 'Kim Won-hae', 'Jung Han-bi', 'Lee Yoo-jun', 'Kim Min-gue', 'Son Hyun-joo', 'Lee Si-a', 'Kim Ki-chun', 'Lee Sang-yeob', 'Seo Eun-ah', 'Lee Dong-ha', 'Kang Chan-hee', 'Im Hwa-young', 'Choi Woo-ri', 'Park Si-eun']",['Kim Won-seok']
Slasher,Canada,2019,TV-MA,3 Seasons,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.,2021,April,"April, 2021",6.7,"['crime', 'drama', 'horror', 'thriller']","['Jeananne Goossen', 'Sydney Meyer', 'Paula Brancati', 'Christopher Jacot', 'Jefferson Brown', 'Patrice Goodman', 'Sabrina Grdevich', 'David Cronenberg', 'Rachael Crawford', 'Alex Ozerov']",
The Soul,"China, Taiwan",2021,TV-MA,130 min,"While investigating the death of a businessman, a prosecutor and his wife uncover occult secrets as they face their own life-and-death dilemma.",2021,April,"April, 2021",6.6,"['scifi', 'thriller', 'drama']","['Chang Chen', 'Janine Chang', 'Christopher Lee Ming-Shun', 'Sun Anke', 'Hui-Min Lin', 'Samuel Ku', 'Lu Hsueh-Feng', 'Zhang Baijia', 'He-Hsuan Lin', 'Robin Lee', 'Dao Nan Wang', 'Chang Che-Hao', 'Tai-chi Fan-Chiang']",['Cheng Wei-Hao']
The Underclass,Thailand,2020,TV-MA,1 Season,"After getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity.",2021,April,"April, 2021",6.5,['drama'],"['Natticha Chantaravareelrkha', 'Tarisa Preechatangkit', 'Miori Ohkubo', 'Sumitra Duangkaew', 'Mond Tanutchai Wijitvongtong', 'Praewa Suthamphong', 'Nannaphas Loetnamchoetsakun']",['Pass Pattanakumjon']
Unnatural Selection,United States,2019,TV-MA,1 Season,"From eradicating disease to selecting a child’s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science.",2021,April,"April, 2021",8.1,"['reality', 'documentation', 'comedy']","['Kevin Esvelt', 'Aaron Traywick', 'David Ishee', 'Jeffrey Kahn', 'Tristan Roberts', 'Jennifer Doudna', 'Josiah Zayner']",
Uppena,India,2020,TV-14,145 min,"The son of a fishing community falls for a village head's daughter, but they face violent opposition from the girl’s doggedly old-fashioned father.",2021,April,"April, 2021",,,,
Why Did You Kill Me?,United States,2021,TV-MA,84 min,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.,2021,April,"April, 2021",5.6,"['crime', 'documentation']",['Belinda Lane'],['Fredrick Munk']
Motu Patlu in Hong Kong: Kung Fu Kings 3,,2017,TV-Y7,84 min,"With a dangerous villain to defeat in Hong Kong, Motu takes his martial arts skills to the next level, training with a boneless master to face the foe.",2021,April,"April, 2021",,,,
Motu Patlu in the City of Gold,,2018,TV-Y7,77 min,"Defeated by the strong yet naive Motu in a race, an evil horseback rider challenges him to a more dangerous mission: finding a lost city of treasure!",2021,April,"April, 2021",,,,
Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,,2018,TV-Y7,86 min,"While in Japan, best friends Motu and Patlu have only one month to train for an epic martial arts battle against two wicked but highly skilled brothers.",2021,April,"April, 2021",,,,
Motu Patlu the Superheroes – Super Villains from Mars,,2019,TV-Y7,79 min,"Friends Motu and Patlu must save the world from three space thieves, but the job gets much harder when a cosmic collision gives the enemies superpowers!",2021,April,"April, 2021",,,,
My Love: Six Stories of True Love,"United States, Brazil, Japan, Spain, India",2021,TV-PG,1 Season,Six longtime couples in different parts of the world share their decades-long love in these tender portraits filmed over the course of one year.,2021,April,"April, 2021",7.5,"['reality', 'romance', 'documentation']",,"['Jin Mo-young', 'Carolina Sá', 'Deepti Kakkar', 'Fahad Mustafa', 'Chico Pereira', 'Elaine McMillion Sheldon']"
Shiva VS Autobots,,2018,TV-Y7,80 min,"When an evil enemy gains control of a gadget that sends vehicles destructively spinning out of control, kid superhero Shiva must stop the chaos!",2021,April,"April, 2021",,,,
Shiva: Journey to Plunotaria,,2019,TV-Y7,81 min,Young superhero Shiva must use his powers to thwart a scheming scientist’s plans to blast Earth with explosive pellets from planet Plunotaria.,2021,April,"April, 2021",,,,
Shiva: The Secret World Of Vedas City,,2017,TV-Y,78 min,"When the residents of Vedas are ordered to evacuate by a prince who claims the town as his own, young Shiva sets out to save the city and its citizens.",2021,April,"April, 2021",,,,
The Baker and the Beauty,"Israel, United States",2020,TV-PG,1 Season,"A Miami baker and a fashionista try to make romance work despite the heat they face from jealous exes, prying family members and invasive paparazzi.",2021,April,"April, 2021",7.3,"['comedy', 'drama', 'romance']","['Victor Rasuk', 'Nathalie Kelley', 'Belissa Escobedo', 'David Del Rio', 'Lisa Vidal', 'Carlos Gómez', 'Dan Bucatinsky', 'Michelle Veintimilla']",
New Gods: Nezha Reborn,China,2021,TV-14,118 min,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",2021,April,"April, 2021",6.8,"['animation', 'action', 'fantasy']","['Yang Tianxiang', 'He Zhang', 'Xuan Xiaoming', 'Li Shimeng', 'Keer Zhu', 'Zhenhe Ling', 'Ruoban Liu', 'Zhang Yaohan', 'Guo Haoran', 'Zengzhi Gao', 'Dashiell McGaha-Schletter', 'Jonny Siew', 'Zhang Zhe']",['Zhao Ji']
"Nicky, Ricky, Dicky & Dawn",United States,2018,TV-G,4 Seasons,"Just because they're quadruplets, that doesn't mean these 10-year-olds always get along. But for all the bickering, they're loyal to the last.",2021,April,"April, 2021",5.1,"['family', 'comedy']","['Aidan Gallagher', 'Lizzy Greene', 'Casey Simpson', 'Brian Stepanek', 'Allison Munn']",
Don't be the First one,,2021,TV-14,1 Season,"Is marriage just better between funny people? Revealing their day-to-day lives, celebrity comedian couples explore the bonds that keep them together.",2021,April,"April, 2021",,,,
The Stand-In,United States,2020,R,102 min,"Her career in shambles, a reclusive movie star hires her stand-in to go to rehab for her, not expecting how much the look-alike will relish the role.",2021,April,"April, 2021",,,,
Heaven Official's Blessing,China,2020,TV-14,1 Season,"Banished to the mortal realm to exorcise ghosts, a deity must reckon with a demon and soon uncovers a dark secret behind the heavenly gods.",2021,April,"April, 2021",8.2,"['scifi', 'drama', 'action', 'animation']","['Ma Zhengyang', 'Jiang Guangtao', 'Zhao Yi', 'Tu Xiongfei', 'Ling Fei', 'Lu Zhixing', 'Wu Lei', 'Shan Xin', 'Tao Dian', 'Hu Liangwei', 'Sen Wen', 'Huang Ying']",
Night in Paradise,South Korea,2021,TV-MA,132 min,"Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.",2021,April,"April, 2021",6.7,"['thriller', 'drama', 'action', 'crime']","['Um Tae-goo', 'Jeon Yeo-been', 'Cha Seung-won', 'Lee Ki-young', 'Park Ho-san', 'Hyun Bong-sik', 'Cho Dong-in', 'Cha Soon-bae', 'Ahn Se-bin', 'Jang Young-nam', 'Lee Moon-sik', 'Son Byung-ho', 'Kim Yeong-seon', 'Choi Jeong-hyun', 'Nam Gyeong-min']",['Park Hoon-jung']
Ojukokoro: Greed,Nigeria,2016,TV-MA,108 min,"Down and out of luck, the manager of a shady gas station gets in over his head when he tries to steal from his grubby employers.",2021,April,"April, 2021",,,,
Roohi,India,2021,TV-14,133 min,"Hired to kidnap a bride, two bumbling pals face a wacky predicament when one falls for their abductee — and the other, for the spirit possessing her.",2021,April,"April, 2021",4.3,"['comedy', 'horror']","['Rajkummar Rao', 'Varun Sharma', 'Janhvi Kapoor', 'Manav Vij', 'Sarita Joshi', ""Alexx O'Nell"", 'Rajesh Jais', 'Anurag Arora', 'Sumit Gulati']",['Hardik Mehta']
Thunder Force,United States,2021,PG-13,107 min,Two childhood best friends reunite as an unlikely crime-fighting superhero duo when one invents a formula that gives ordinary people superpowers.,2021,April,"April, 2021",4.4,"['scifi', 'comedy', 'fantasy', 'action']","['Melissa McCarthy', 'Octavia Spencer', 'Jason Bateman', 'Bobby Cannavale', 'Pom Klementieff', 'Melissa Leo', 'Taylor Mosby', 'Marcella Lowery', 'Melissa Ponzio', 'Ben Falcone', 'Nate Hitpas', 'Jevon White', 'David Storrs', 'Kevin Dunn', 'Henry Bazemore Jr.', 'Steve Mallory', 'Mia Kaplan', 'Trevor Larcom', 'Braxton Bjerken', 'Tyrel Jackson Williams', 'Sarah Baker', 'Isaac Hughes', 'Brendan Jennings', 'John Crow', 'Valerie Sue Love', 'Keil Oakley Zepernick', 'Jenna Perusich', 'Damon Jones', 'Tim Lovestedt', 'Courtney Patterson', 'Emma Jonnz']",['Ben Falcone']
Two Distant Strangers,United States,2021,TV-MA,32 min,"In this Oscar-nominated short film, a man trying to go home to his dog gets stuck in a time loop that forces him to relive a deadly run-in with a cop.",2021,April,"April, 2021",,,,
Story of Kale: When Someone's in Love,Indonesia,2020,TV-PG,78 min,"After leaving a toxic relationship, Dinda embarks on a romance with Kale, whose view on love soon shatters as he wrestles with his own insecurities.",2021,April,"April, 2021",6.4,"['drama', 'romance']","['Ardhito Pramono', 'Aurélie Moeremans', 'Arya Saloka', 'Azizah Hanum', 'Tanta Ginting', 'Roy Sungkono', 'Gilbert Pohan']",['Angga Dwimas Sasongko']
The Way of the Househusband,Japan,2021,TV-MA,1 Season,"After disappearing from the underworld, the legendary yakuza Tatsu, ""the Immortal Dragon,"" resurfaces — as a fiercely devoted stay-at-home husband.",2021,April,"April, 2021",7.3,"['animation', 'comedy', 'action', 'crime', 'drama', 'romance']","['Kenjiro Tsuda', 'Shizuka Itoh', 'Kazuyuki Okitsu', 'Yoshimasa Hosoya', 'Atsuko Tanaka', 'Mao Ichimichi', 'Jun Fukushima', 'Kimiko Saito', 'Hochu Otsuka', 'Masashi Nogawa', 'Junichi Yanagita']",
Dolly Parton: A MusiCares Tribute,,2021,TV-PG,55 min,"In a star-studded evening of music and memories, a community of iconic performers honor Dolly Parton as the MusiCares Person of the Year.",2021,April,"April, 2021",6.6,"['music', 'documentation']","['Dolly Parton', 'Willie Nelson', 'Miley Cyrus', 'Kacey Musgraves', 'Katy Perry', 'Shawn Mendes', 'Chris Stapleton', 'Pink', 'Garth Brooks', 'Trisha Yearwood', 'Leon Bridges', 'Lauren Daigle', 'Karen Fairchild', 'Kimberly Schlapman', 'Jimi Westbrook']",
The Big Day,India,2021,TV-14,2 Seasons,"For six engaged couples, happily ever after begins on a spectacular note in this eye-popping look at India’s multibillion-dollar wedding industry.",2021,April,"April, 2021",4.7,"['reality', 'romance']",,
The Wedding Coach,,2021,TV-MA,1 Season,Former bride and forever comedian Jamie Lee shares her irreverent yet practical tips and tricks for wedding planning with struggling lovebirds.,2021,April,"April, 2021",5.0,"['comedy', 'reality']",,
This Is a Robbery: The World's Biggest Art Heist,,2021,TV-MA,1 Season,"In 1990, two men dressed as cops con their way into a Boston museum and steal a fortune in art. Take a deep dive into this daring and notorious crime.",2021,April,"April, 2021",6.5,"['crime', 'documentation', 'history']","['Shelley Murphy', 'Anne Hawley', 'Dick Ellis', 'Martin Leppo', 'Tron Brekke', 'Myles Connor', 'Stephen Kurkjian', 'Justin Stratman', 'Aaron Fannin', 'Nancy Clougherty', 'Karen Sangregory', 'Ed Mahony', 'Patricia Vigderman', 'Ed Whelan', 'Robert Sikellis', 'Steven Xiarhos', 'Donna Reissfelder', 'Brian T. Kelly', 'Pieter Roelofs', 'David Nadolski']",['Colin Barnicle']
The Last Kids on Earth: Happy Apocalypse to You,,2021,TV-Y7,92 min,"Help Jack and his monster-battling friends make choices to stay alive — and have some fun — in this interactive ""Last Kids on Earth"" adventure!",2021,April,"April, 2021",,,,
Coded Bias,"United States, China, United Kingdom",2020,TV-MA,86 min,This documentary investigates the bias in algorithms after M.I.T. Media Lab researcher Joy Buolamwini uncovered flaws in facial recognition technology.,2021,April,"April, 2021",6.7,['documentation'],"['Joy Buolamwini', ""Cathy O'Neil"", 'Meredith Broussard', 'Silkie Carlo', 'Virginia Eubanks', 'Ravi Naik', 'Safiya Umoja Noble', 'Zeynep Tufekci']",['Shalini Kantayya']
Mandela,India,2021,TV-14,140 min,"Amid a local election with two rivals vying to win by any means necessary, a barber lands in a curiously powerful position as the single deciding vote.",2021,April,"April, 2021",,,,
The Fisherman's Diary,Cameroon,2020,TV-MA,143 min,"Inspired by Nobel Peace Prize winner Malala Yousafzai, a young girl defies the expectations of her father and village to pursue an education",2021,April,"April, 2021",6.4,['drama'],"['Faith Fidel', 'Kang Quintus', 'Ramsey Nouah', 'Cosson Chinopoh', 'Onyama Laura', 'Prince Sube Mayorchu', 'Godwill Neba', 'Daphne Njie']",['Enah Johnscott']
What Lies Below,United States,2020,TV-MA,88 min,"Back home at her lake house, a teenager begins to suspect that a sinister force lurks beneath the surface of her mother's too-perfect new lover.",2021,April,"April, 2021",4.3,"['horror', 'thriller', 'scifi']","['Ema Horvath', 'Mena Suvari', 'Trey Tucker', 'Haskiri Velazquez', 'Troy Iwata', 'Danny Corbo', 'Olan Montgomery']",
Escape from Planet Earth,"United States, Canada",2013,PG,89 min,"This all-ages animated comedy follows the adventures of astronaut Scorch Supernova, a hero of the blue aliens who has a vast appetite for adventure.",2021,April,"April, 2021",5.8,"['scifi', 'comedy', 'family', 'animation']","['Brendan Fraser', 'Jessica Alba', 'Rob Corddry', 'Steve Zahn', 'Sarah Jessica Parker', 'Ricky Gervais', 'Gregg Binkley', 'Sofía Vergara', 'Kaitlin Olson', 'Ashley Eckstein', 'Craig Robinson', 'Jane Lynch', 'Jonathan Morgan Heit', 'Chris Parnell', 'William Shatner', 'Bob Bergen', 'George Lopez', 'Joshua Rush', 'Bill Hader', 'Doug Abrahams']",['Cal Brunker']
Accepted,United States,2006,PG-13,93 min,"Rejected by every college he applied to, a high school senior invents a fake university that will fool his parents and help his fellow outcasts.",2021,April,"April, 2021",,,,
Air Strike,China,2018,R,97 min,The residents of Chongqing try to survive Japanese air raids as a U.S. military advisor trains a squadron of Chinese pilots desperate to fight back.,2021,April,"April, 2021",,,,
An American Girl: McKenna Shoots for the Stars,"United States, Canada",2012,TV-Y,94 min,"A talented young gymnast struggles with her schoolwork and an injury. But with help from her tutor, she gets her confidence back.",2021,April,"April, 2021",,,,
Concrete Cowboy,"United Kingdom, United States",2021,R,112 min,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.",2021,April,"April, 2021",6.3,"['western', 'drama']","['Idris Elba', 'Caleb McLaughlin', 'Jharrel Jerome', 'Byron Bowers', 'Lorraine Toussaint', 'Method Man', 'Jamil ""Mil"" Prattis', 'Ivannah Mercedes', 'Liz Priestley', ""Michael Ta'Bon"", 'Devenie Young', 'Albert C. Lynch, Jr.', 'Charles W Harris III']",['Ricky Staub']
Cross: Rise of the Villains,United States,2019,R,100 min,"Armed with a mighty ancient amulet, a team of weapons experts joins forces to defend Los Angeles from supervillains with explosive powers of their own.",2021,April,"April, 2021",,,,
God Calling,Nigeria,2018,TV-MA,120 min,"The loss of a child plunges Sade into a suicidal depression, but her suffering leads to faith – with a little assist from modern technology.",2021,April,"April, 2021",,,,
Irul,India,2021,TV-MA,91 min,"When a car breakdown forces a couple to seek shelter in a nearby home, conversations with the stranger inside soon suggest there’s a killer among them.",2021,April,"April, 2021",5.8,['thriller'],"['Fahadh Faasil', 'Soubin Shahir', 'Darshana Rajendran', 'Mashar Hamsa', 'Jipa John']",['Naseef Yusuf Izuddin']
Just Say Yes,Netherlands,2021,TV-MA,98 min,Incurable romantic Lotte finds her life upended when her plans for a picture-perfect wedding unravel — just as her self-absorbed sister gets engaged.,2021,April,"April, 2021",4.5,"['comedy', 'romance']","['Yolanthe Cabau', 'Huub Smit', 'Jim Bakkum', 'Noortje Herlaar', 'Nick Golterman', 'Edwin Jonker', 'Pip Pellens', 'Juvat Westendorp', 'Nienke Plas', 'Josylvio', 'Kim-Lian van der Meij', 'Nina Warink', 'Lisa Michels', 'Winston Post', 'Patricia Paay', 'Nicky Romero', 'Dave Roelvink', 'Tino Martin', 'Ferry Dunnik', 'Svenn van der Kruit', 'Taeke Taekema', 'Niels Houtepen', 'Maurits Delchot', 'Amy Homberg']","['Aram van de Rest', 'Appie Boudellah']"
Madame Claude,France,2021,TV-MA,113 min,"In 1960s Paris, Madame Claude's influence extends beyond the world of sex work — until an affluent young woman threatens to change everything.",2021,April,"April, 2021",5.4,"['crime', 'drama', 'romance']","['Karole Rocher', 'Garance Marillier', 'Roschdy Zem', 'Pierre Deladonchamps', 'Paul Hamy', 'Benjamin Biolay', 'Hafsia Herzi', ""Liah O'Prey"", 'Joséphine de la Baume', 'Mylène Jampanoï', 'Annabelle Belmondo', 'Djanis Bouzyani', 'Virgile Bramly', 'Léa Rostain', 'Lucile Jaillant', 'Mathilde Moigno', 'Aleksandra Yermak', 'Vincent Pannetier', 'Arnaud de Montlivault', 'Michelle Figlarz', 'Regina Anikiy', 'Jeannick Gravelines', 'Xavier Alcan', 'Tony Martone', 'Sébastien Gill', 'Paul Manniez', 'Alain Figlarz']",['Sylvie Verheyde']
Wild Child,"United States, United Kingdom, France",2008,PG-13,98 min,"Accustomed to getting her way, a wealthy teenage girl from Los Angeles is sent to a strict boarding school in England to clean up her act.",2021,April,"April, 2021",,,,
Woody Woodpecker,United States,2017,PG,91 min,A rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.,2021,April,"April, 2021",,,,
2012,United States,2009,PG-13,158 min,"When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos.",2021,April,"April, 2021",,,,
3 Idiots,India,2009,PG-13,164 min,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",2021,April,"April, 2021",8.4,"['drama', 'comedy']","['Aamir Khan', 'Sharman Joshi', 'R. Madhavan', 'Kareena Kapoor Khan', 'Boman Irani', 'Omi Vaidya', 'Farida Dadi', 'Parikshat Sahni', 'Amardeep Jha', 'Mukund Bhatt', 'Mona Singh', 'Olivier Lafont', 'Achyut Potdar', 'Chaitali Bose', 'Jayant Kripalani', 'Akhil Mishra', 'Atul Tiwari', 'Rajeev Ravindranathan', 'Supriya Shukla', 'Rahul Kumar', 'Javed Jaffrey', 'Ali Fazal', 'Arun Bali']",['Rajkumar Hirani']
Ferrari Ki Sawaari,India,2012,TV-PG,133 min,A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.,2021,April,"April, 2021",6.4,"['family', 'comedy', 'drama', 'sport']","['Sharman Joshi', 'Ritwik Sahore', 'Boman Irani', 'Seema Pahwa', 'Aakash Dabhade', 'Satyadeep Misra']",['Rajesh Mapuskar']
Glimpses of a Future,,2020,TV-PG,1 Season,"This docuseries celebrates the virtual collaborations between a group of artists, dancers and writers from around the world during the pandemic.",2021,April,"April, 2021",,,,
Ibrahim a Fate to Define,"Lebanon, Palestine, Denmark, Qatar",2019,TV-PG,75 min,"Raised in a quiet home, Lina searches for answers while investigating the mystery behind her father's disappearance in this documentary.",2021,April,"April, 2021",,,,
Insidious,"United States, Canada",2010,PG-13,103 min,"A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house.",2021,April,"April, 2021",6.8,"['horror', 'thriller']","['Rose Byrne', 'Patrick Wilson', 'Ty Simpkins', 'Lin Shaye', 'Leigh Whannell', 'Angus Sampson', 'Barbara Hershey', 'Andrew Astor', 'Corbett Tuck', 'Heather Tocquigny', 'Ruben Pla', 'John Henry Binder', 'Joseph Bishara', 'J. LaRose', 'Kelly Devoto']",['James Wan']
Into the Grizzly Maze,"United States, Canada",2015,R,90 min,Estranged brothers Beckett and Rowan reunite in the Alaskan wild to confront a savage grizzly bear wreaking havoc on their hometown.,2021,April,"April, 2021",,,,
Kingsglaive: Final Fantasy XV,"Japan, United States",2016,PG-13,116 min,King Regis of Lucis orders his Kingsglaive warriors to stop the army of Niflheim before it invades and steals the crystal that gives Lucis its power.,2021,April,"April, 2021",,,,
Legally Blonde,United States,2001,PG-13,96 min,"When dazzling L.A. sorority girl Elle Woods gets dumped by her snobby boyfriend, she decides to win him back by following him to Harvard Law School.",2021,April,"April, 2021",,,,
Madam Chief Minister,India,2020,TV-14,121 min,"Rising from disadvantage to become a state leader, a tenacious politician learns that with great power comes great responsibility, ruthlessness and risk.",2021,April,"April, 2021",4.8,['drama'],"['Richa Chadha', 'Saurabh Shukla', 'Manav Kaul', 'Akshay Oberoi', 'Shubhrajyoti Barat', 'Nikhil Vijay']",['Subhash Kapoor']
Magical Andes,"Uruguay, Germany",2021,TV-G,2 Seasons,"From Argentina to Colombia, this stunning documentary follows five characters who share their deep connection to South America's majestic mountains.",2021,April,"April, 2021",7.8,['documentation'],,
Maximum Risk,United States,1996,R,101 min,"After discovering he's a twin when a look-alike turns up dead, a French cop assumes his brother's identity to uncover the truth and seek vengeance.",2021,April,"April, 2021",,,,
Murder Maps,United Kingdom,2017,TV-MA,2 Seasons,Dramatic reenactments paired with archival sources artfully illustrate how police brought some of Britain's most infamous killers to justice.,2021,April,"April, 2021",,,,
My Fair Lady,United States,1964,G,173 min,"When a Cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives.",2021,April,"April, 2021",,,,
Prank Encounters,United States,2021,TV-MA,2 Seasons,Monstrous frights meet hilarious reveals on this hidden-camera prank show as real people become the stars of their own full-blown horror movie.,2021,April,"April, 2021",5.2,"['reality', 'comedy', 'horror', 'scifi']",['Gaten Matarazzo'],
